LUOGO,ID STAZIONE
ARONA,S01020
ALESSANDRIA,S00470
SORESINA,S01607
STRADELLA,S01945
SUZZARA,S02340
TAINO ANGERA,S01122
TALAMONA,S01426
TERNATE VARANO BORGHI,S01143
TERNO,S01504
FERRERA LOMELLINA,S00404
FIUMELATTE,S01412
CASALETTO VAPRIO,S01604
CASALMAGGIORE,S01850
CASALPUSTERLENGO,S01827
CASLETTO-ROGENO,S01457
CASORATE SEMPIONE,S01029
CASSAGO-NIBIONNO-BULCIAGO,S01490
CASSANO D`ADDA,S01707
CASTEGGIO,S01942
CASTEL D`ARIO,S02382
CASTELLEONE,S01606
CASTELLUCCHIO,S01923
CASTELVETRO,S01960
CASTIONE ANDEVENNO,S01429
CASTRONNO,S01208
CAVA CARBONARA,S00279
CAVA TIGOZZI,S01914
CAVARIA OGGIONA JERAGO,S01210
CERNUSCO-MERATE,S01513
CERTOSA DI PAVIA,S01803
BRESSANA ARGINE,S01930
BRESSANA BOTTARONE,S01805
BRONI,S01944
CHIARI,S01713
CHIAVENNA,S01400
CHIGNOLO PO,S01868
ASOLA,S01847
BOLOGNA C.LE,S05043
BORGOFORTE,S02338
BORGOLOMBARDO,S01830
BOZZOLO,S01920
BRENNA-ALZATE,S01452
BRESCIA,S01717
CANDIA LOMELLINA,S00333
CANNETO SULL`OGLIO,S01848
CANTU`- CERMENATE,S01313
CAPRALBA,S01603
CARAVAGGIO,S01602
CARIMATE,S01315
CARNATE USMATE,S01511
CASALBUTTANO,S01609
TORTONA,S01810
ABBADIA LARIANA,S01416
ABBIATEGRASSO,S01062
ACQUANEGRA CREMONESE,S01913
AIRUNO,S01515
ALBATE CAMERLATA,S01310
ALBATE-TRECALLO,S01450
ALBIZZATE SOLBIATE ARNO,S01209
ALBUZZANO,S01863
AMBIVERE MAPELLO,S01527
ANZANO DEL PARCO,S01453
ARCISATE,S01203
ARCORE,S01510
ARDENNO MASINO,S01427
ARENA PO,S01947
ROMANO,S01711
ROMANORE,S02337
ROVATO,S01714
ROVERBELLA,S02333
S.ANTONIO MANTOVANO,S02334
S. CRISTINA E BISSONE,S01866
PIACENZA,S05000
PIEVE ALBIGNOLA,S00402
BELLANO TARTAVELLE TERME,S01409
S.STEFANO LODIGIANO,S01829
S. ZENO FOLZANO,S01900
S. ZENONE AL LAMBRO,S01823
SAIRANO ZINASCO,S00400
SALA AL BARRO-GALBIATE,S01461
SAMOLACO,S01402
SANGIANO,S01140
SARTIRANA,S00038
MONTIRONE,S01840
MONZA,S01322
MONZA SOBBORGHI,S01480
MORBEGNO,S01425
MORENGO BARIANO,S01710
MORNAGO CIMBRO,S01144
MORTARA,S00034
MOTTEGGIANA,S02339
BUTTAFAVA,S01482
CALCIO,S01712
CALDE`,S01117
PARABIAGO,S01035
PARONA LOMELLINA,S01060
PAVIA,S01860
CORBETTA S. STEFANO,S01041
COSIO TRAONA,S01424
GAZZADA SCHIANNO MORAZZONE,S01207
GAZZO DI BIGARELLO,S02381
GHEDI,S01841
GONZAGA-REGGIOLO,S02344
GROPELLO CAIROLI,S00277
GRUMELLO DEL MONTE,S01537
INDUNO OLONA,S01204
ISPRA,S01121
LAMBRINIA,S01869
LAVENO MOMBELLO,S01118
LECCO,S01520
LECCO MAGGIANICO,S01522
LEGGIUNO MONVALLE,S01120
LEGNANO,S01033
BAGNOLO MELLA,S01901
CHIUDUNO,S01536
CHIURO,S01435
CISANO CAPRINO BERGAMASCO,S01525
CIVATE,S01462
COCCAGLIO,S01540
CODOGNO,S01828
COLICO,S01420
COLOGNE,S01539
COMO S. GIOVANNI,S01307
SECUGNAGO,S01826
SEREGNO,S01318
SERIATE,S01533
SESTO CALENDE,S01026
SESTO S. GIOVANNI,S01325
SOMMA LOMBARDO,S01028
SONDRIO,S01430
BESOZZO,S01141
MOTTA S. DAMIANO,S01862
NICORVO,S00273
OSNAGO,S01512
OSPEDALETTO LODIGIANO,S01871
OSPITALETTO MANTOVANO,S01922
OSTIGLIA,S05304
PADERNO ROBBIATE,S01502
PALAZZOLO SULL`OGLIO,S01538
PALESTRO,S00271
PALIDANO,S02343
TORRE DE` PICENARDI,S01918
TORREBERETTI,S00039
TORRILE S. POLO,S01853
TRAVEDONA BIANDRONNO,S01142
TRECELLA,S01706
TREVIGLIO,S01708
TREVIGLIO OVEST,S01601
TRIUGGIO-PONTE ALBIATE,S01485
TROMELLO,S00275
VALLE LOMELLINA,S00037
LESMO,S01501
LIERNA,S01413
LISSONE-MUGGIO`,S01321
LOCATE TRIULZI,S01801
LODI,S01825
LONATO,S02083
LUINO,S01113
LUNGAVILLA,S01806
MACHERIO-CANONICA,S01484
MACHERIO SOVICO,S01500
PIONA,S01406
PIZZIGHETTONE,S01911
BESANA,S01488
BESNATE,S01145
BIANZONE,S01438
BIASSONO-LESMO PARCO,S01483
MIRADOLO TERME,S01867
MANTOVA FRASSINE,S02380
MODENA,S05032
MOIANA,S01456
MOLTENO,S01458
MONTELLO GORLAGO,S01535
GAMBOLO`REMONDO`,S00274
NOGARA,S05310
NOVARA,S00248
OGGIONO,S01460
OLCIO,S01414
OLEGGIO,S00984
OLEVANO,S00036
OLGIATE-CALCO-BRIVIO,S01514
OLMENETA,S01905
ORIO LITTA,S01870
CALOLZIOCORTE OLGINATE,S01524
CALUSCO,S01503
CALVISANO,S01843
PAVIA PORTA GARIBALDI,S01861
REMEDELLO SOPRA,S01845
REMEDELLO SOTTO,S01846
REVERE,S05305
REVERE SCALO,S05306
RHO,S01037
ROBECCO-PONTEVICO,S01904
ROGOLO,S01423
GAZZO PIEVE S. GIACOMO,S01917
ALBANO S.ALESSANDRO,S01534
ALBONESE,S00033
S. GIACOMO DI TEGLIO,S01436
S. GIOVANNI IN CROCE,S01849
S.GIULETTA,S01943
S. GIULIANO MILANESE,S01821
S.MICHELE IN BOSCO,S01924
POGGIO RUSCO,S05308
NOVATE-MEZZOLA,S01403
PIADENA,S01919
PINAROLO PO,S01931
PIOLTELLO LIMITO,S01703
CORTEOLONA,S01865
COSTA MASNAGA,S01491
CREMA,S01605
DERVIO,S01408
DESIO,S01320
VARENNA ESINO,S01411
VARESE,S01205
VERCELLI,S00245
VERCURAGO S.GIROLAMO,S01523
VERDELLO DALMINE,S01600
VERGIATE,S01027
VEROLANUOVA,S01903
VERONA PORTA NUOVA,S02430
VIADANA BRESCIANA,S01842
VIDALENGO,S01709
VIGEVANO,S01061
VIGNATE,S01704
VILLA DI TIRANO,S01439
VILLA RAVERIO,S01487
VILLAMAGGIORE,S01802
VILLANOVA D`ARDENGHI,S00278
VILLASANTA,S01481
MALEO,S01910
MANDELLO DEL LARIO,S01415
MANERBIO,S01902
MANTOVA,S02336
MARCARIA,S01921
MEDE,S00406
MELEGNANO,S01822
MELZO,S01705
MERONE,S01454
MILANO CERTOSA,S01640
MILANO GRECO PIRELLI,S01326
MILANO LAMBRATE,S01701
MILANO PORTA GARIBALDI,S01645
MI.P.GENOVA,S01631
MILANO PORTA VITTORIA,S01633
MILANO S. CRISTOFORO,S01630
MILANO CENTRALE,S01700
MILANO ROMOLO,S01032
SEVESO,S01925
SARONNO,S01933
MARIANO COMENSE,S01089
ASSO,S01101
COZZO,S00332
CREMONA,S01915
CUCCIAGO,S01312
DELEBIO,S01422
DESENZANO,S02084
DORIO,S01407
BELGIOIOSO,S01864
MILANO DATEO,S01650
BISUSCHIO VIGGIU,S01202
ARCENE,S01608
LEVATE,S01611
STEZZANO,S01612
POZZUOLO MARTESANA,S01722
PREGNANA MILANESE,S01058
MALPENSA,N00048
REGOLEDO,S01410
RENATE-VEDUGGIO,S01489
ROBBIO,S00272
CHIASSO,S01301
CORSICO,S01064
S. CASSIANO VALCHIAVENNA,S01401
SANNAZZARO,S00403
GAGGIANO,S01063
LOMELLO,S00405
MAGENTA,S01040
VERCEIA,S01404
MI P.GAR.SOTT.,S01647
MILANO ROGOREDO,S01820
VANZAGO POGLIANO,S01036
MILANO BOVISA FNM,S01642
MILANO LANCETTI,S01643
MILANO PORTA ROMANA,S01632
MILANO VENEZIA,S01649
TRECATE,S00252
TRESENDA-APRICA-TEGLIO,S01437
TREZZANO S.N.,S01065
VALMADRERA,S01463
VOGHERA,S01807
SAIRANO,S00408
CANTU`,S01451
CARATE-CALO`,S01486
SEGRATE,S01715
BUSTO ARSIZIO,S01031
CAMNAGO-LENTATE,S01316
CANEGRATE,S01034
CAVA MANARA,S01804
DUBINO,S01405
TIRANO,S01440
PARATICO SARNICO,S01620
CAPRIOLO,S01622
ASTI,S00462
BARBIANELLO,S01932
BERGAMO,S01529
OSPITALETTO TRAVAGLIATO,S01716
S. PIETRO BERBENNO,S01428
VILLETTA MALAGNINO,S01916
VISANO,S01844
VITTUONE ARLUNO,S01042
ZINASCO NUOVO,S00401
MADIGNANO,S01610
POGGIRIDENTI-TRESIVIO-PIATEDA,S01433
PONTE D`ADDA,S01912
PONTE IN VALTELLINA,S01434
PONTE S.MARCO - CALCINATO,S02082
PONTE S.PIETRO,S01528
PONTIDA,S01526
PORTO CERESIO,S01200
PORTO VALTRAVAGLIA,S01116
TAVAZZANO,S01824
GALLARATE,S01030
GARLASCO,S00276
SESTRI LEVANTE,S04725
SORI,S04712
TAGGIA ARMA,S04506
VARAZZE,S04531
VENTIMIGLIA,S04501
ARCOLA,S06006
ACQUI TERME,S00867
AIROLE,S04481
ALASSIO,S04515
ALBENGA,S04516
BOGLIASCO,S04709
BORDIGHERA,S04503
BORGHETTO SANTO SPIRITO,S04518
BORGO FORNARI PER VOLTAGGIO,S04214
BUSALLA,S04215
CAMOGLI SAN FRUTTUOSO,S04716
CAMPOLIGURE MASONE,S04105
CAVI,S04724
CELLE,S04530
CERIALE,S04517
CERVO SAN BARTOLOMEO,S04512
COGOLETO,S04532
CORNIGLIA,S04734
DEIVA MARINA,S04728
DIANO MARINA,S04511
FINALE LIGURE MARINA,S04522
FRAMURA,S04729
GENOVA ACQUASANTA,S04107
GENOVA BOLZANETO,S04218
GENOVA BORZOLI,S04109
GENOVA GRANARA,S04108
GENOVA MARITTIMA S. LIMBANIA,S04603
GENOVA NERVI,S04707
GENOVA PEGLI,S04536
GENOVA P.PRINCIPE,S04700
GENOVA PONTEDECIMO,S04217
GENOVA QUARTO DEI MILLE,S04704
GENOVA RIVAROLO,S04219
GENOVA SAMPIERDARENA,S04220
GENOVA STURLA,S04703
GENOVA VESIMA,S04540
GENOVA VOLTRI,S04534
ISOLA DEL CANTONE,S04210
LA SPEZIA CENTRALE,S06000
LAIGUEGLIA,S04514
LAVAGNA,S04723
LEVANTO,S04731
LOANO,S04519
MELE,S04106
MIGNANEGO,S04212
MONEGLIA,S04727
MONTEROSSO,S04732
OLIVETTA SAN MICHELE,S04480
OVADA,S04103
PIANO ORIZZONTALE DEI GIOVI,S04216
PIETRABISSARA,S04209
PIEVE LIGURE,S04711
F00049,F00049
BIVIO/PC ARCOLA,S06008
S. STEFANO DI MAGRA,S06170
F00007,F00007
F00008,F00008
SAVONA MARITTIMA,S04800
SPOTORNO NOLI,S04526
VALLECROSIA,S04502
VERNAZZA,S04733
ZOAGLI,S04721
GENOVA COSTA DI SESTRI PONENTE,S04110
GENOVA QUINTO AL MARE,S04705
GENOVA VIA DI FRANCIA,S04223
BORGIO VEREZZI,S04521
GENOVA P. PRINCIPE SOTTERRANEA,S04701
CAIRO MONTENOTTE,S00879
CENGIO,S00745
ALBISOLA,S04529
BRAGNO,S04803
GENOVA CORNIGLIANO,S04538
IMPERIA ONEGLIA,S04510
PIETRA LIGURE,S04520
S. MARGHERITA LIGURE PORTOFINO,S04718
GENOVA PRA,S04535
GENOVA SESTRI PONENTE,S04537
GENOVA BRIGNOLE,S04702
PONTETTO,S04710
MULINETTI,S04713
CHIAVARI,S04722
RIVA TRIGOSO,S04726
BONASSOLA,S04730
MANAROLA,S04735
FERRANIA,S04804
MASCHIO,S04811
VEZZANO LIGURE,S06171
PONZANO MAGRA,S06200
GENOVA S.BIAGIO,S04222
PONT,S00890
DEGO,S00877
PISA CENTRALE,S06500
ROCCHETTA CAIRO,S00878
PIANA,S00876
CA` DI BOSCHETTI,S06044
PARMA,S05014
LA SPEZIA MIGLIARINA,S06004
LA SPEZIA MARITTIMA,S06002
SARZANA,S06007
ALTARE,S04810
ANDORA,S04513
ARENZANO,S04533
ARQUATA SCRIVIA,S04207
BEVERA,S04482
CEVA,S00742
BREIL SUR ROYA,S00622
QUILIANO VADO,S04527
RAPALLO,S04720
RECCO,S04714
RIOMAGGIORE,S04736
RONCO SCR.,S04211
ROSSIGLIONE,S04104
SAN GIUSEPPE DI CAIRO,S04805
SAN REMO,S04505
SANTUARIO,S04802
SAVONA,S04801
RIVALTA SCRIVIA,S04331
RONCO SCR.,S04211
SAN GIUSEPPE DI CAIRO,S04805
SERRAVALLE SCRIVIA,S04206
STAZZANO SERRAVALLE,S04303
TORTONA,S01810
VILLALVERNIA,S04301
VISONE,S04100
AGLIANO CASTELNUOVO CALCEA,S00804
AIRASCA,S00514
ALICE BELCOLLE,S00809
ALPIGNANO,S00216
AOSTA,S00137
ARONA,S01020
ACQUI TERME,S00867
ALESSANDRIA,S00470
DEVIATOIO ESTREMO TORTONA,S01050
CASSANO SPINOLA,S04302
CASTELSPINA PORTANOVA,S04001
DONNA,S04202
FRUGAROLO BOSCOMARENGO,S04200
GENOVA VOLTRI,S04534
MOLARE,S04102
NOVI LIGURE,S04203
OVADA,S04103
OVADA NORD,S04007
SILLAVENGO,S00978
SIZZANO,S00111
SOMMARIVA BOSCO,S00730
SPIGNO,S00874
SPINETTA,S01940
STRESA,S01016
STREVI,S00866
SUNO,S00018
CASALE MONFERRATO,S00314
CASALE POPOLO,S00179
CASTAGNOLE DELLE LANZE,S00828
CASTELL`ALFERO,S00343
CASTELLETTO BUSCA,S00720
CASTELLINO TANARO,S00741
CASTELNUOVO BELBO,S00836
CASTELROSSO,S00233
CAVAGNOLO BRUSASCO,S00423
CENTALLO,S00608
CERVIGNASCO,S00546
BRICHERASIO,S00521
BRIONA,S00113
BROZOLO,S00424
BRUNO,S00837
BUSCA,S00704
BUSSOLENO,S00208
ARQUATA SCRIVIA,S04207
CEVA,S00742
CHERASCO,S00733
CHIERI,S00500
CHIOMONTE,S00206
AVIGLIANA,S00214
BIVIO CASTELROSSO,S00027
BIVIO SESIA,S00005
BAGNASCO,S00921
BIELLA S.PAOLO,S00070
BISTAGNO,S00870
BOLZANO NOVARESE,S00014
BORGO LAVEZZARO,S00032
BORGO REVEL,S00171
BORGO TICINO,S00981
BORGO VERCELLI,S00246
BORGOFRANCO,S00152
BORGOMANERO,S00016
BORGONE,S00210
BORGORATTO,S00860
BORGOSESIA,S00104
BRA,S00821
BRANDIZZO,S00231
BREIL SUR ROYA,S00622
CANDELO,S00071
CANDIOLO,S00512
CANDOGLIA ORNAVASSO,S01011
CANELLI,S00832
CANTALUPO,S00841
CARENTINO,S00839
CARISIO,S00055
CARMAGNOLA,S00601
CARPIGNANO SESIA,S00971
CARRU` CLAVESANA,S00738
POZZOLO FORMIGARO,S04330
PRASCO CREMOLINO,S04101
PREDOSA,S04003
RIGOROSO,S04208
RIO SECCO,S04004
S.BENIGNO DI CUNEO,S00609
S. DAMIANO D`ASTI,S00461
PESSIONE,S00457
PETTENASCO,S00011
PIANFEI,S00903
PIEVETTA,S00922
BALZOLA,S00178
BANDITO,S00732
BARDONECCHIA,S00202
BASTIA MONDOVI`,S00908
BAZZANA,S00807
BEINETTE,S00901
BELGIRATE,S01017
BELLINZAGO,S00985
S. PAOLO SOLBRITO,S00463
S.SEBASTIANO PO,S00420
S.STEFANO BELBO,S00831
S.VITTORIA,S00822
SALBERTRAND,S00205
SALE LANGHE,S00743
SALICETO,S00744
SALUGGIA,S00235
SALUSSOLA,S00074
SANDIGLIANO,S00072
SANFRE`,S00731
MONCALIERI SANGONE,S00510
SANTHIA`,S00240
PENANGO,S00341
MONTEU DA PO,S00422
MONTICELLO D`ALBA,S00823
MONTIGLIO MURISENGO,S00426
MORTARA,S00034
NARZOLE,S00734
NEIVE,S00827
CALAMANDRANA,S00833
LESEGNO,S00954
FONTANETTO PO,S00174
COSSATO,S00973
COSTIGLIOLE (MOTTA DI),S00348
COSTIGLIOLE D`ASTI,S00829
COSTIGLIOLE SALUZZO,S00702
GARBAGNA,S00030
GARESSIO,S00924
GATTINARA,S00052
GHEMME,S00110
GOZZANO,S00015
GRAVELLONA TOCE,S00007
GRIGNASCO,S00106
INCISA SCAPACCINO,S00835
IVREA,S00154
LAURIANO,S00421
LESA,S01018
BALDICHIERI,S00460
CHIVASSO,S00232
COCCONATO,S00425
COMIGNAGO,S00050
CONDOVE,S00212
SAVIGLIANO,S00604
SCALENGHE,S00540
SERRALUNGA CERESETO,S00338
SERRAVALLE D`ASTI,S00431
SESTO CALENDE,S01026
SETTIME CINAGLIO MOMBARONE,S00430
SETTIMO TAVAGNASCO,S00151
OVIGLIO,S00840
OZZANO MONFERRATO,S00337
PALAZZOLO VERCELLESE,S00175
PALLANZENO,S00002
TORRE PELLICE,S00524
TORREBERETTI,S00039
TRAPPA,S00925
TRINITA` BENE VAGIENNA,S00950
TRINO VERCELLESE,S00176
TROFARELLO,S00455
VALENZA,S00041
VALMADONNA,S00042
LIVORNO FERRARIS,S00237
LIMONE,S00617
LUSERNA S. GIOVANNI,S00523
MADDALENE,S00607
MADONNA DEL PILONE,S00820
PINEROLO,S00517
PISCINA DI PINEROLO,S00515
BERGAMASCO,S00838
BIANZE`,S00238
BIBIANA,S00522
MOMBALDONE ROCCAVERANO,S00873
MOMBARUZZO,S00808
MOMO,S00019
MONCALIERI,S00453
MONCALVO,S00340
MONCHIERO DOGLIANI,S00735
MONDOVI`,S00952
MONGARDINO,S00801
MONTALTO DORA,S00153
MONTANARO,S00160
MONTECHIARO D`ASTI,S00428
MONTECHIARO DENICE,S00872
MONTEGROSSO,S00803
FOSSANO,S00606
GAMALERO,S00861
NICHELINO,S00511
NIELLA,S00739
NOVARA,S00248
NUCETTO,S00920
OLCENENGO,S00244
OLEGGIO,S00984
OMEGNA,S00010
ORNAVASSO,S00006
ORTA MIASINO,S00012
CALTIGNAGA,S00020
PRATO SESIA,S00108
PREMOSELLO CHIOVENDA,S01009
QUARONA,S00102
QUINCINETTO,S00150
RACCONIGI,S00602
RHO,S01037
ROBILANTE,S00615
ROCCACIGLIE`,S00740
ROCCADEBALDI,S00905
ROCCAVIONE,S00614
ROCCHETTA TANARO CERRO,S00466
RODALLO,S00159
ROMAGNANO SESIA,S00109
ROSTA,S00215
S.ANNA ROBELLA,S00434
S. ANTONINO DI SALUGGIA,S00236
S. ANTONINO VAIE,S00211
MONASTERO PRATAVECCHI,S00721
FELIZZANO,S00468
POGLIOLA,S00904
POMBIA,S01125
PONTECURONE,S01809
PONTI,S00871
PONZANA,S00247
PORTACOMARO,S00344
PORTO VARALLO POMBIA,S01124
SOLERO,S00469
STRAMBINO,S00155
SUSA,S00260
GHISLARENGO,S00974
GIAROLE,S00316
MAGLIANO CRAVA MOROZZO,S00951
S. GERMANO VERCELLESE,S00243
S.GIORGIO CASALE,S00336
S.GIULIANO PIEMONTE,S01941
POCAPAGLIA,S00842
DORMELLETTO,S01025
NIZZA MONFERRATO,S00834
NONE,S00513
PC. MEANA,S00207
PERTENGO,S00311
PIEDIMULERA,S00003
CUNEO GESSO,S00611
CUREGGIO,S00051
VARALLO POMBIA,S00982
VARALLO SESIA,S00100
VERBANIA-PALLANZA,S01013
VERCELLI,S00245
VERGNASCO,S00073
VERNANTE,S00616
VEROLENGO,S00170
VERZUOLO,S00701
VESPOLATE,S00031
VICOFORTE SAN MICHELE,S00953
VIGLIANO CANDELO,S00977
VIGLIANO D`ASTI,S00802
VIGNALE,S00021
VIGONE,S00542
VILLADOSSOLA,S00001
VILLAFRANCA C.,S00459
VILLAFRANCA P.,S00543
MARGARITA,S00902
MERGOZZO,S01012
PINEROLO OLIMPICA,S00082
CRESCENTINO,S00172
CRESSA FONTANETO,S00017
CUNEO,S00610
CUNICO SCANDELUZZA,S00427
CUZZAGO,S01010
DOMODOSSOLA,S01003
DOMO II,S01004
DORMELLETTO PAESE,S00980
DRONERO,S00722
EXILLES,S00251
FARA,S00112
FARIGLIANO,S00737
BAVENO,S01015
BIELLA CHIAVAZZA,S00970
MORETTA,S00544
NIBBIA,S00976
OULX CESANA CLAVIERE SESTRIERE,S00204
BORGO S.MARTINO,S00315
CAMBIANO SANTENA,S00456
F00010,F00010
F00047,F00047
VILLANOVA,S00458
TORINO PORTA SUSA,S00035
S.SILVESTRO,S00173
SETTIMO,S00229
SEZZADIO,S00862
CHIUSANO COSSOMBRONE,S00429
COLLEGNO,S00217
PRIOLA,S00923
ROVASENDA,S00053
S. AMBROGIO,S00213
ISOLA D`ASTI,S00347
MANTA,S00700
TORRE S.GIORGIO,S00545
TRONZANO,S00239
F00009,F00009
SAN GIACOMO,S04005
TORINO DORA,S00224
VAPRIO D`AGOGNA,S00022
MARANO TICINO,S00983
MEINA,S01019
MERANA,S00875
MERCENASCO,S00156
VILLASTELLONE,S00600
VOGHERA,S01807
PIEVE VERGONTE,S00004
BORGO SAN DALMAZZO,S00613
BRUZOLO,S00209
CASALEGGIO,S00972
CASSINE,S00864
CASTELLETTO TICINO,S01123
CASTELLO D`ANNONE,S00465
CASTELLAZZO CASALCERMELLI,S04000
ROVASENDA ALTA,S00056
BURONZO,S00054
CALUSO,S00158
CANDIA CANAVESE,S00157
CAVALLERMAGGIORE,S00603
CERCENASCO,S00541
ROCCAGRIMALDA,S04006
ECA NASAGO`,S00926
TERZO MONTABONE,S00869
TORINO LINGOTTO,S00452
TORINO S. PAOLO,S00223
TORINO SMISTAMENTO NORD,S00450
TORINO STURA,S00228
TONCO ALFIANO,S00342
TORINO P.NUOVA,S00219
TORRAZZA P.,S00234
CARBONARA SCRIVIA,S04300
ALBA,S00825
ASTI,S00462
BIVIO MADONNA DELL`OLMO,S00029
BEAULARD,S00203
MORANO SUL PO,S00177
MUSSOTTO,S00824
OMEGNA CRUSINALLO,S00008
BEURA CARDEZZA,S01007
MADONNA DELLA SCALA,S00501
TORINO ORBASSANO FASCIO SUD,S00220
VOGOGNA OSSOLA,S01008
DONNAZ,S00148
AOSTA,S00137
AOSTA VIALE EUROPA,S00146
AVISE,S00133
PONT SAINT MARTIN,S00149
NUS,S00140
VERRES,S00145
VILLENEUVE,S00135
DERBY,S00162
PRE` SAINT DIDIER,S00130
QUART,S00138
SAINT PIERRE,S00161
SARRE,S00136
MONTJOVET,S00144
MORGEX,S00131
HONE BARD,S00147
IVREA,S00154
LA SALLE,S00132
CHAMBAVE,S00141
CHATILLON SAINT VINCENT,S00142
ARVIER,S00134
AOSTA ISTITUTO,S00143
COLLEFERRO-SEGNI-PALIANO,S08657
CASTRO-POFI,S08663
F00023,F00023
QUATTRO VENTI,S08005
FIERA DI ROMA,S08413
SERENISSIMA,S08505
PINETO,S08334
ROMA S.LORENZO,S08218
ROMA TIBURTINA PIAZZALE EST,S08226
Dev.Int. DD/AV,S08220
S. MARIA DELLE MOLE,S08738
SGURGOLA,S08659
CROCICCHIE,S08317
TERRIA,S07425
ROCCA D`EVANDRO,S09200
ISOLETTA-S.GIOVANNI I.,S08665
ROMA TIBURTINA,S08217
