LUOGO,ID STAZIONE
RIGOLI,S06401
RIGOMAGNO,S06851
RIPARBELLA,S06750
RONTA,S06606
ROSIGNANO,S06730
RUFINA,S06703
SAN BENEDETTO SAMBRO-CAST.PEPOLI,S05134
PERUGIA,S07004
PIAZZA AL SERCHIO,S06325
PIETRASANTA,S06012
PIOMBINO,S06770
PIOMBINO BINARI MARE,S06775
PISA BINARI AEROPORTO,S06450
PISA CENTRALE,S06500
PISA SAN ROSSORE,S06501
PISTOIA,S06414
MONTALE AGLIANA,S06415
MONTALLESE,S06856
MONTE ANTICO,S06820
MONTECARLO SAN SALVATORE,S06408
MONTECATINI CENTRO,S06412
MONTEPESCALI,S06038
MONTEPULCIANO,S06855
FOSCIANDORA - CESERANA,S06301
NOZZANO,S06351
ORBETELLO,S08004
ORCIANO,S06022
PALLERONE,S06220
TORRE DEL LAGO PUCCINI,S06015
TORRENIERI,S06817
VADA,S06025
VAIANO,S05136
VALDIBRANA,S05117
CONTEA LONDA,S06702
LUCCA,S06404
MARRADI,S06610
MASSA CENTRO,S06009
MINUCCIANO - PIEVE - CASOLA,S06227
PRATO BORGONUOVO,S06426
DICOMANO,S06701
DIECIMO - PESCAGLIA,S06310
EMPOLI,S06510
FAENZA,S05058
BARGA GALLICANO,S06303
NAVACCHIO,S06502
PESCIA,S06409
PITECCIO,S05116
VIAREGGIO,S06040
VICARELLO,S06017
VICCHIO,S06700
VIGNALE RIOTORTO,S06032
VILLAFRANCA - BAGNONE,S06166
VILLETTA S. ROMANO,S06322
ZAMBRA,S06425
S.PIERO A SIEVE,S06603
FAUGLIA - LORENZANA,S06021
ALBERESE,S08001
ALTOPASCIO,S06407
ANTIGNANO,S06727
AREZZO,S06915
ASCIANO,S06813
AULLA,S06168
BIVIO MORTELLINI,S06056
P.M. BADESSE,S06826
BIFORCO,S06611
BOLGHERI,S06028
BORGO A MOZZANO,S06309
BORGO S. LORENZO,S06604
BORGO S.L.RIMORELLI,S06704
CAMUCIA CORTONA,S06921
CAPALBIO,S08006
CARRARA AVENZA,S06005
CASCINA,S06505
CASINO DI TERRA,S06751
CASTAGNO,S05122
CASTELLINA CH,S06808
CASTELNUOVO DI GARFAGNANA,S06300
CASTIGLION DEL LAGO,S06923
CECINA,S06026
BUCINE,S06911
CIVITELLA PAGANICO,S06822
COLLE VAL D`ELSA,S06840
COLLESALVETTI,S06018
COMPIOBBI,S06902
SARZANA,S06007
SCARLINO,S06035
SCORCETOLI,S06164
SESTO FIORENTINO,S06418
SIECI,S06903
SIENA,S06809
SIGNA,S06513
SINALUNGA,S06852
STICCIANO,S06824
TALAMONE,S08002
FIRENZE CAMPO MARTE,S06900
FIRENZE CASCINE,S06515
FIRENZE CASTELLO,S06419
FIGLINE VALDARNO,S06908
FILATTIERA,S06165
FIVIZZANO - GASSANO,S06223
FIVIZZANO ROMETTA - SOLIERA,S06222
FOLLONICA,S06033
FORNACI DI BARGA,S06304
PANICAGLIA,S06605
PARMA,S05014
CORBEZZI,S05115
GAVORRANO,S06036
GRAGNOLA,S06224
GRANAIOLO,S06801
GROSSETO,S06039
IL NETO,S06424
LATERINA,S06912
BAGNI DI LUCCA,S06308
S. VINCENZO,S06030
MONTEVARCHI TERRANUOVA,S06910
DOPPIO BIVIO MONTUOLO,S06403
MONZONE-M.DEI BANCHI-ISOLANO,S06225
MURLO,S06876
CALENZANO,S06417
CAMAIORE LIDO CAPEZZANO,S06043
MASCALI,S12323
GUARDIA MANGANO SANTA VENERINA,S12327
CATANIA CENTRALE,S12332
CATANIA ACQUICELLA,S12337
AGNONE DI S.,S12342
BRUCOLI,S12344
MOTTA CAMASTRA,S12360
CALTANISSETTA XIRBI,S12380
DIRILLO,S12408
VITTORIA,S12410
DONNAFUGATA,S12412
MODICA,S12417
S.TERESA LONGARINI,S12428
GELA-ANIC,S12430
CARINI TORRE CIACHEA,S12799
CATENANUOVA,S12244
ORSA,S12121
CEFALU`,S12019
F00051,F00051
F00052,F00052
F00036,F00036
F00037,F00037
F00038,F00038
F00039,F00039
MILI MARINA,S12003
PONTE S.STEFANO,S12005
VILLABATE,S12006
PRIOLO SOPRANO,S12393
RAGUSA IBLA,S12416
SERRADIFALCO,S12383
POZZALLO,S12420
SCIARA A.,S12201
SIRACUSA,S12349
SPARAGOGNA,S12243
LICATA,S12400
CASTELLUCCIO SICULO,S12354
SAN MARTINO PIANA,S12252
TOMMASO NATALE,S12131
PIRAINETO,S12125
GOLE DI ALCANTARA,S12366
PUNTA RAISI,S12133
LEONFORTE-PIRATO,S12239
S.FLAVIA,S12009
ACQUEDOLCI-S.FRATELLO,S12026
SAN GIORGIO,S12034
OLIVERI TINDARI,S12037
PALERMO BRANCACCIO,S12055
S.NICOLA DI MAZARA,S12111
CASTELVETRANO,S12113
GALLITELLO,S12115
CINISI TERRASINI,S12126
CARDILLO ZEN,S12140
ROCCAPALUMBA-ALIA,S12204
MIMIANI-S.CATALDO,S12235
MOTTA SANTA ANASTASIA,S12250
MILITELLO,S12276
TARGIA,S12353
GRANITI,S12359
MOJO-ALCANTARA MALVAGNA,S12363
RACALMUTO,S12373
FAVAROTTA,S12386
RAGUSA,S12414
S.PAOLO,S12423
CAMPOBELLO RAVANUSA,S12385
PALERMO SAMPOLO,S12004
FEDERICO,S12136
PALERMO MARITTIMA,S12000
CALTANISSETTA CENTRALE,S12381
CASTRONOVO DI SICILIA,S12206
ALTAVILLA M.,S12011
FIUMETORTO,S12015
POLLINA,S12021
SANTO STEFANO DI CAMASTRA,S12024
S.AGATA M.,S12027
BROLO FICARRA,S12031
NOVARA MONTALBANO FURNARI,S12039
BARCELLONA,S12041
MILAZZO,S12042
VILLAFRANCA TIRRENA,S12050
MOZIA-BIRGI,S12105
TERRENOVE,S12108
MAZARA DEL VALLO,S12110
SALEMI GIBELLINA,S12114
CASTELLAMMARE DEL GOLFO,S12120
PALAZZO REALE-ORLEANS,S12130
SEGESTA TEMPIO,S12152
FULGATORE,S12155
CAMPOFRANCO,S12211
COMITINI,S12212
AGRIGENTO BASSA,S12213
VALLEDOLMO,S12231
DITTAINO,S12240
GRAMMICHELE,S12272
MINEO,S12275
PALAGONIA,S12279
MESSINA CENTRALE,S12301
GIAMPILIERI,S12308
SCALETTA ZANCLEA,S12309
ROCCALUMERA MANDANICI,S12312
SANTA TERESA DI RIVA,S12314
CAMPOBELLO DI MAZARA,S12112
CAMPOFELICE,S12017
PRIOLO MELILLI,S12347
RADDUSA AGIRA,S12241
RANDAZZO,S12365
ROMETTA MESSINESE,S12049
ROSOLINI,S12422
S.ALESSIO SICULO FORZA D`AGRO`,S12315
S.CATALDO,S12382
PETROSINO STRASATTI,S12109
BICOCCA,S12338
MONTEMAGGIORE,S12203
FRANCAVILLA,S12361
FRANCIA,S12139
FURCI,S12313
GAGGI,S12358
GALATI,S12305
NISCEMI,S12392
NIZZA DI SICILIA,S12311
NOTO,S12424
PALERMO NOTARBARTOLO,S12134
PACE DEL MELA,S12045
PACECO,S12103
PACHINO,S12445
PALERMO CENTRALE,S12002
TORRE DEL LAURO,S12053
TRABIA,S12013
TRAPANI,S12100
TRAPPETO,S12123
TREMESTIERI,S12303
TUSA,S12022
VALLELUNGA,S12232
CONTESSE,S12355
LETOJANNI,S12316
LIBERTINIA,S12242
MARAUSA,S12104
MARCATOBIANCO,S12230
MARIANOPOLI,S12234
MARSALA,S12107
MARZAMEMI,S12444
MEGARA G.,S12346
MESSINA MARITTIMA,S12300
MILO,S12157
DELIA,S12384
ENNA,S12238
FALCONARA,S12405
FALCONE,S12038
PIANA DEL SIGNORE,S12394
VENETICO,S12047
VESPRI,S12135
VILLALBA,S12233
VILLAROSA,S12237
VITUSO,S12391
VIZZINI,S12273
ZAPPULLA,S12029
PORTIERE STELLA,S12248
PORTO EMPEDOCLE,S12214
SPADAFORA,S12048
TAORMINA,S12317
GERBINI,S12247
ISOLA DELLE FEMMINE,S12129
S.FILIPPO-S.LUCIA,S12044
S.LORENZO COLLI,S12132
SAN MARCO D`ALUNZIO T.,S12028
ACATE,S12409
ACIREALE,S12328
ACQUAVIVA,S12209
AGRIGENTO CENTRALE,S12216
ALCAMO,S12116
ALCAMO DIRAMAZIONE,S12150
ALCANTARA,S12320
ALI` TERME,S12310
ARAGONA CALDARE,S12370
AUGUSTA,S12345
AVOLA,S12426
BAGHERIA,S12008
CANICATTI`,S12375
CANNIZZARO,S12330
CAPACI,S12128
CAPO D`ORLANDO-NASO,S12030
CARINI,S12127
CARONIA,S12025
CARRUBA,S12326
CASSIBILE,S12427
CASTELBUONO,S12020
CASTELDACCIA,S12010
CASTIGLIONE DI SICILIA,S12362
CASTROFILIPPO,S12374
CATANIA OGNINA,S12331
CERDA,S12200
BRUCA,S12153
BUONFORNELLO,S12016
BUTERA,S12406
COMISO,S12411
COMITINI ZOLFARE,S12371
SCICLI,S12418
SCORDIA,S12278
SFERRO,S12246
SIRACUSA M.,S12351
SPAGNUOLA,S12106
TERME VIGLIATORE,S12040
TERMINI IMERESE,S12014
FIERA,S12137
FILDIDONNA,S12277
FIUMEFREDDO DI SICILIA,S12322
PARTINICO,S12124
PASSOMARTINO,S12339
PATTI-SAN PIERO PATTI,S12036
GELA,S12407
GENISI,S12413
GIACHERY,S12138
GIARRE RIPOSTO,S12324
GIOJOSA MAREA,S12033
GROTTE,S12372
IMERA,S12236
ISPICA,S12421
LASCARI,S12018
LENTINI,S12341
LENTINI DIRAMAZIONE,S12340
LERCARA BASSA,S12205
BALESTRATE,S12122
S.NICOLA T.,S12012
S.OLIVA,S12387
SAMPIERI,S12419
CALATABIANO,S12321
CALATAFIMI,S12151
CALTAGIRONE,S12270
CAMMARATA S.GIOVANNI GEMINI,S12207
POLICORO TURSI,S11802
SAPRI,S11721
ALBANO DI LUCANIA,S11453
ACQUAFREDDA,S11722
CROTONE,S11823
MARATEA,S11723
MARCONIA,S11800
METAPONTO,S11461
SPINAZZOLA,S11304
TARANTO,S11465
FILIANO,S11211
FORENZA,S11210
BELLA MURO,S09831
SALANDRA,S11457
MONTICCHIO,S09622
CALCIANO,S11455
CAMPOMAGGIORE,S11454
POTENZA SUPERIORE,S11217
RIONERO ATELLA RIPACANDITA,S11209
PICERNO,S09833
PIETRAGALLA,S11213
PISTICCI,S11459
TRIVIGNO,S11452
BERNALDA,S11460
BALVANO R.,S09830
TIERA,S11216
MARINA DI MARATEA,S11724
MONTEVERDE,S09624
BARILE,S11208
POTENZA INFERIORE,S11420
BARAGIANO,S09832
SCANZANO J. MONTALBANO J.,S11801
NOVA SIRI ROTONDELLA,S11803
PRAJA AJETA TORTORA,S11725
RAPONE RUVO S.FELE,S09621
PISCIOLO,S09625
TITO,S09834
LAGONEGRO,S09911
ROCCHETTA S.ANT.LAC.,S11205
MELFI,S11206
CASTEL LAGOPESOLE,S11212
AVIGLIANO LUCANIA,S11214
LEONESSA,S11219
POSSIDENTE,S11220
S. NICOLA DI MELFI,S11300
VENOSA - MASCHITO,S11302
PALAZZO S.GERVASIO - MONTEMIL.,S11303
VAGLIO BASILICATA,S11450
BRINDISI DI MONTAGNA,S11451
GRASSANO,S11456
FERRANDINA,S11458
F00027,F00027
F00028,F00028
CALITRI PESCOPAGANO,S09620
ROMAGNANO V.,S09829
S.TOMMASO DEL PIANO,S09630
GRAVINA IN PUGLIA,S11306
PALAGIANO MOTTOLA,S11509
MONTEIASI,S11601
MARGHERITA DI SAV./OFANTINO,S11107
MINERVINO MURGE,S11403
BRINDISI MARITTIMA,S11137
CANDIDA,S11105
CASTELLANETA MARINA,S11463
TROIA CASTELLUCCIO SAURI,S09322
CHIEUTI SERRACAPRIOLA,S11021
AMENDOLA,S11051
FRATTAROLO,S11053
MANFREDONIA,S11054
TRINITAPOLI S.FERDIN. DI P.,S11106
BARI CENTRALE,S11119
FASANO,S11130
CAROVIGNO,S11133
S.VITO DEI NORMANNI,S11135
SQUINZANO,S11142
ORDONA,S11202
ROCCHETTA S.ANT.LAC.,S11205
CANNE DELLA BATTAGLIA,S11406
ACQUAVIVA DELLE FONTI,S11504
FRANCAVILLA FONTANA,S11603
BARI S. SPIRITO,S11116
F00050,F00050
F00029,F00029
RIGNANO GARGANICO,S11028
GROTTAGLIE,S11602
ALTAMURA,S11307
APICE S.ARCANGELO BONITO,S09314
APRICENA,S11024
ASCOLI SATRIANO,S11203
BARI PALESE MACCHIE,S11118
BARI S.ANDREA,S11513
BARI S.GIORGIO,S11150
BISCEGLIE,S11113
BITETTO PALO DEL COLLE,S11501
BOVINO DELICETO,S09321
CANDELA,S11204
CANOSA DI PUGLIA,S11402
CASAL SABINI,S11309
CERIGNOLA,S11103
CERVARO,S11200
METAPONTO,S11461
BRINDISI,S11136
CISTERNINO,S11131
SIPONTO,S11056
SPINAZZOLA,S11304
TARANTO,S11465
TERMOLI,S11019
GIOIA DEL COLLE,S11505
INCORONATA,S11101
LATIANO,S11606
LECCE,S11145
BARLETTA,S11108
BELLAVISTA,S11512
S. PIETRO VERNOTICO,S11141
SAN SEVERO,S11025
SANNICANDRO DI BARI,S11503
SANTUARIO INCORONATA,S11201
SANTERAMO,S11310
POSTO MOVIMENTO RIPALTA,S11022
MODUGNO CITTA`,S11515
MOLFETTA,S11114
MONOPOLI,S11129
ORIA,S11605
ORSARA DI PUGLIA,S09320
ORTANOVA,S11102
OSTUNI,S11132
PALAGIANELLO,S11508
PALAGIANO CHIATONA,S11464
TRANI,S11112
TREPUZZI,S11143
TUTURANO,S11140
MASSAFRA,S11510
MESAGNE,S11607
COZZE,S11151
EGNAZIA,S11154
BARI PARCO NORD,S11148
BARI TORRE A MARE,S11126
VILLA CASTELLI,S11608
POLIGNANO A MARE,S11128
PONTE ALBANITO,S09325
GINOSA,S11462
GIOVINAZZO,S11115
GRUMO APPULA,S11502
POGGIO IMPERIALE,S11023
POGGIORSINI,S11305
BARI PARCO SUD,S11125
MOLA DI BARI,S11127
NASISI,S11600
FOGGIA,S11100
PRAJA AJETA TORTORA,S11725
REGGIO DI CALABRIA CATONA,S11776
RIACE,S11845
ROCCA IMPERIALE,S11804
SALINE DI REGGIO,S11864
SCILLA,S11772
SIMERI CRICHI,S11832
TARSIA,S11903
REGGIO CALABRIA LIDO,S11780
F00030,F00030
F00031,F00031
F00032,F00032
F00033,F00033
F00034,F00034
F00035,F00035
R.C.AEROPORTO,S11866
FIUMEFREDDO BRUZIO,S11741
FRANCAVILLA ANGITOLA F.,S11752
FUSCALDO,S11738
GABELLA GRANDE,S11871
GIZZERIA LIDO,S11748
GRISOLIA S.MARIA,S11729
GUARDAVALLE,S11843
GUARDIA PIEMONTESE TERME,S11737
LAMEZIA TERME NICASTRO,S11951
LAMEZIA TERME SAMBIASE,S11950
LOCRI,S11851
LONGOBARDI,S11742
MARCELLINA VERBICARO ORSOMARSO,S11728
MARCELLINARA,S11953
MARINA DI SAN LORENZO,S11862
METAPONTO,S11461
MIRTO CROSIA,S11814
MONASTERACE STILO,S11844
MONGRASSANO CERVICATI,S11905
MONTEPAONE - MONTAURO,S11836
MOTTA SAN GIOVANNI LAZZARO,S11865
NICOTERA,S11764
NOCERA TIRINESE,S11746
PALIZZI,S11859
PALMI,S11769
PAOLA,S11739
PIETRAPAOLA,S11816
SCALEA S.DOMENICA TALAO,S11727
LAMEZIA TERME CENTRALE,S11749
CUTRO,S11826
GIOIA TAURO,S11766
S.LUCIDO MARINA,S11740
SIBARI,S11811
S.ANDREA DELL`JONIO,S11840
MONTALTO ROSE,S11908
CATANZARO,S11956
VILLA S.GIOVANNI MARE,S11775
JOPPOLO,S11763
BAGNARA,S11770
VILLA S.G.CANNITELLO,S11773
REGGIO DI CALABRIA GALLICO,S11777
SANTA DOMENICA,S11786
MILETO,S11790
MONTE GIORDANO,S11805
VILLAPIANA TORRE CERCHIARA,S11810
CORIGLIANO CALABRO,S11812
MANDATORICCIO CAMPANA,S11817
ISOLA CAPO RIZZUTO,S11825
CATANZARO LIDO,S11833
SOVERATO,S11837
S.CATERINA DELL`JONIO,S11842
GIOIOSA JONICA,S11848
BRANCALEONE,S11857
BOVA MARINA,S11860
MELITO DI PORTO SALVO,S11863
REGGIO DI CALABRIA S.GREGORIO,S11868
SPEZZANO ALBANESE TERME,S11901
S.MARCO ROGGIANO,S11904
CASTIGLIONE COSENTINO,S11909
FEROLETO ANTICA PIANOPOLI,S11952
BIVIO PANTANI,S11751
VILLA SAN GIOVANNI,S11774
PARGHELIA,S11759
PIZZO,S11753
REGGIO CALABRIA CENTRALE,S11781
REGGIO CALABRIA MARITTIMA,S11782
REGGIO DI CALABRIA PELLARO,S11867
RICADI,S11761
ROCCABERNARDA,S11828
ROCCELLA JONICA,S11847
ROSARNO,S11765
ROSETO CAPO SPULICO,S11806
ROSSANO,S11813
S.NICOLA ARCELLA,S11726
S.PIETRO A MAIDA,S11750
SAN LEONARDO DI CUTRO,S11827
SANGINETO,S11733
SANTA MARIA DI CATANZARO,S11957
SAPRI,S11721
SELLIA MARINA,S11831
SETTINGIANO,S11954
SIDERNO,S11850
SQUILLACE,S11835
STRONGOLI,S11822
THURIO,S11869
TORANO LATTARICO,S11906
TORRE MELISSA,S11821
TREBISACCE,S11808
TROPEA,S11760
VIBO MARINA,S11754
VIBO VALENZIA PIZZO,S11789
VILLA S. GIOVANNI BOLANO,S11778
VILLAPIANA LIDO,S11809
ZAMBRONE,S11758
ACQUAPPESA,S11736
ACRI BISIGNANO LUZZI,S11907
AFRICO NUOVO,S11872
AMANTEA,S11744
AMENDOLARA ORIOLO,S11807
ARDORE,S11853
BADOLATO,S11841
BELMONTE CALABRO,S11743
BELVEDERE MARITTIMO,S11732
BIANCO,S11855
BIVIO SETTIMO,S11755
BOTRICELLO,S11829
BOVALINO,S11854
BRIATICO,S11757
CALOPEZZATI,S11815
CAMPORA S.GIOV. SERRA AIELLO,S11745
CAPO BONIFATI,S11734
CAPO SPARTIVENTO,S11858
CARIATI,S11818
CASSANO ALL`IONIO,S11900
CAULONIA,S11846
CETRARO,S11735
CIRELLA MAJERA`,S11730
CIRO',S11820
CONDOFURI,S11861
COSENZA,S11910
CROPANI,S11830
CROTONE,S11823
CRUCOLI,S11819
DIAMANTE BUONVICINO,S11731
ECCELLENTE,S11788
FALERNA,S11747
FAVAZZINA,S11771
FERRUZZANO,S11856
PETTORANO SUL GIZIO,S08901
FOSSACESIA,S07819
CIVITA D`ANTINO-MORINO,S08853
S.VINCENZO V.R.,S08855
SULMONA-INTRODACQUA,S08900
RIVISONDOLI-PESCOCOSTANZO,S08905
CASTEL DI SANGRO,S08910
ISERNIA,S09053
SCERNE DI PINETO,S07805
BUGNARA,S08538
BUSSI,S07704
CAMPO DI GIOVE,S08903
PRATOLA PELIGNA SUPERIORE,S07601
BARI CENTRALE,S11119
VIGLIANO D`ABRUZZO,S07412
TIONE DEGLI ABRUZZI,S07426
POPOLI VITTORITO,S07703
TORTORETO LIDO,S07801
PINETO ATRI,S07806
TERAMO,S07900
CASTELLALTO CANZANO,S07901
ROMA TERMINI,S08409
SANTE MARIE,S08521
CARRITO-ORTONA,S08533
F00024,F00024
CAMPO DI GIOVE-MONTE MAIELLA,S08919
COCULLO,S08534
ALANNO,S07708
ALBA ADRIATICA NERETO CONTR.,S07800
ALFEDENA-SCONTRONE,S08908
ANVERSA-VILLALAGO-SCANNO,S08537
AVEZZANO,S08526
CAPISTRELLO,S08850
CAPPELLE-MAGLIANO,S08525
CARSOLI,S08519
CASALBORDINO POLLUTRI,S07821
CELANO-OVINDOLI,S08528
CERCHIO,S08530
CHIETI,S07712
CIVITELLA ROVETO,S08852
COLLI DI MONTE BOVE,S08520
SASSA TORNIMPARTE,S07413
SCAFA S.VALENTINO CARAMANICO T,S07707
SCURCOLA MARSICANA,S08524
SELLA DI CORNO,S07411
FONTECCHIO,S07421
GIULIANOVA,S07802
L`AQUILA,S07414
S.VITO LANCIANO,S07817
MONTESILVANO,S07808
MOSCIANO S. ANGELO,S07904
PRATOLA PELIGNA,S07700
PREZZA,S08536
RAIANO,S07600
ROCCA DI CORNO,S07410
ROCCARASO,S08906
ROSETO DEGLI ABRUZZI,S07804
PESCARA,S07810
PESCARA PORTA NUOVA,S07811
PESCINA,S08532
PESCOCANALE,S08811
PIANO D`ORTA BOLOGNANO,S07714
MOLINA CASTEL VECCHIO SUBAQUEO,S07424
FRANCAVILLA AL MARE,S07813
NOTARESCO,S07903
ORICOLA-PERETO,S08518
ORTONA,S07815
PAGANICA,S07416
PALENA,S08904
TORRE DEI PASSERI,S07706
MANOPPELLO,S07710
PESCARA S. MARCO,S07017
FOSSACESIA - TORINO DI SANGRO,S07018
CUPONE,S08810
FAGNANO CAMPANA,S07420
BALSORANO,S08856
BEFFI,S07422
BELLANTE RIPATTONE,S07902
VASTO S.SALVO,S07824
VILLA SAN SEBASTIANO,S08523
PORTO D`ASCOLI,S07514
PORTO DI VASTO,S07822
SILVI,S07807
SULMONA,S08539
TAGLIACOZZO,S08522
GORIANO SICOLI,S08535
ACCIANO,S07423
S.DEMETRIO DE` VESTINI,S07418
TOCCO CASTIGLIONE,S07705
TOLLO CANOSA SANNITA,S07814
TORINO DI SANGRO PAGLIETA,S07820
ASSEMINI,S12889
BONORVA,S12867
BORORE,S12872
CANIGA,S12812
CHIRIALZA,S12899
CIXERRI,S12970
SCALA DI GIOCCA,S12814
SILIQUA,S12954
SOLARUSSA,S12876
SU CANALE,S12896
IGLESIAS,S12950
BARBUSI,S12971
BAULADU MILIS,S12875
SANT`ORSOLA,S12806
SAMASSI SERRENTI,S12885
SANLURI STATO,S12883
SANT`ANNA,S12897
MONTI TELTI,S12857
CAGLIARI,S12891
CAGLIARI ELMAS,S12890
CALA SABINA,S12851
CAMPOMELA,S12815
BERCHIDDA,S12859
MONTE ARCAU,S12973
GOLFO ARANCI MARITTIMA,S12850
GOLFO ARANCI,S12852
OLBIA,S12855
ORISTANO,S12878
OSCHIRI,S12860
PABILLONIS,S12881
MACOMER,S12869
DECIMOMANNU,S12888
MUSEI,S12953
PLOAGHE,S12816
VILLAMASSARGIA DOMUSNOVAS,S12952
VILLASOR,S12887
PORTO TORRES,S12802
ABBASANTA,S12873
SAN GAVINO,S12882
ENAS,S12856
TORRALBA,S12865
PORTO TORRES MARITTIMA,S12803
S.GIORGIO DI SASSARI,S12805
MADONNA DI CASTRO,S12853
PAULILATINO,S12874
VILLASPECIOSA UTA,S12956
SAN GIOVANNI,S12804
SASSARI,S12807
TISSI USINI,S12813
ARDARA,S12817
MARINELLA,S12854
OZIERI FRAIGAS,S12861
OZIERI CHILIVANI,S12862
MORES ITTIREDDU,S12864
GIAVE,S12866
MARRUBIU TERRALBA ARBOREA,S12879
SERRAMANNA NURAMINIS,S12886
RUDALZA,S12895
OLBIA MARITTIMA ISOLA BIANCA,S12901
CARBONIA SERBARIU,S12818
URAS MOGORO,S12880
BOLZANO ,S02026
BORGO VALSUGANA CENTRO,S02313
PERI,S02052
ROVERETO,S02044
TRENTO,S02038
PRIMOLANO,S02319
BOLZANO ,S02026
BRENNERO,S02001
FORTEZZA ,S02011
S.CANDIDO,S02114
MERANO,S02216
TRENTO,S02038
